,train_loss,train_acc,valid_loss,valid_acc,lr
0,0.6848275000065249,tensor(0.7508),0.5478522275150797,tensor(0.7978),5e-05
1,0.5482466656376667,tensor(0.8000),0.5263355760361835,tensor(0.8026),5e-05
2,0.5131955694487248,tensor(0.8114),0.4793858492018971,tensor(0.8249),5e-05
3,0.4942403331174419,tensor(0.8186),0.4734135604737928,tensor(0.8261),5e-05
4,0.47758092064053326,tensor(0.8243),0.5065735086545458,tensor(0.8131),5e-05
5,0.46979853469769745,tensor(0.8281),0.4894010374067532,tensor(0.8207),5e-05
6,0.45547229433793524,tensor(0.8326),0.4656552710702076,tensor(0.8291),5e-05
7,0.44773577743709453,tensor(0.8334),0.45170460681037744,tensor(0.8338),5e-05
8,0.43944128391336806,tensor(0.8369),0.4408224182333003,tensor(0.8376),5e-05
9,0.4337555207897356,tensor(0.8390),0.4520657059090686,tensor(0.8338),5e-05
10,0.3812382009290051,tensor(0.8580),0.41057139212751126,tensor(0.8476),5e-06
11,0.37063900399720223,tensor(0.8620),0.41143169638895766,tensor(0.8490),5e-06
12,0.3638309883780875,tensor(0.8635),0.4084311832923773,tensor(0.8504),5e-06
13,0.36028923863935025,tensor(0.8649),0.40890645294779576,tensor(0.8503),5e-06
14,0.3591793792279877,tensor(0.8644),0.40942281246682166,tensor(0.8488),5e-06
15,0.35377930442504907,tensor(0.8670),0.4068986784288156,tensor(0.8510),5e-06
16,0.3503821014607897,tensor(0.8683),0.40943389825233856,tensor(0.8516),5e-06
17,0.3478212922228648,tensor(0.8699),0.4134372978418368,tensor(0.8484),5e-06
18,0.34699501711116765,tensor(0.8696),0.40709235216035566,tensor(0.8498),5e-06
19,0.3431926436218248,tensor(0.8710),0.4110846351682853,tensor(0.8489),5e-06
20,0.3362074804615615,tensor(0.8736),0.40698175122241786,tensor(0.8518),5.000000000000001e-07
21,0.3357246083474075,tensor(0.8741),0.40725602816793927,tensor(0.8510),5.000000000000001e-07
22,0.33460392440576975,tensor(0.8737),0.40233719196026047,tensor(0.8538),5.000000000000001e-07
23,0.3335832558780116,tensor(0.8739),0.4071011923088711,tensor(0.8518),5.000000000000001e-07
24,0.33292161758586586,tensor(0.8739),0.4099755877197152,tensor(0.8508),5.000000000000001e-07
25,0.3322914358122145,tensor(0.8744),0.4105490558554095,tensor(0.8493),5.000000000000001e-07
26,0.33297432773711017,tensor(0.8740),0.4071760501052065,tensor(0.8521),5.000000000000001e-07
27,0.33170611636594305,tensor(0.8752),0.40979722098266136,tensor(0.8517),5.000000000000001e-07
28,0.33212241955142097,tensor(0.8746),0.4114445172639641,tensor(0.8515),5.000000000000001e-07
29,0.3325786916118052,tensor(0.8751),0.4109765680870516,tensor(0.8510),5.000000000000001e-07
30,0.33070551267454507,tensor(0.8756),0.40552445289682754,tensor(0.8518),5.000000000000001e-08
31,0.3294782107907941,tensor(0.8761),0.40764045341728056,tensor(0.8516),5.000000000000001e-08
32,0.33141572647807155,tensor(0.8745),0.41042173834671075,tensor(0.8518),5.000000000000001e-08
