,train_loss,train_acc,valid_loss,valid_acc,lr
0,1.167068970895188,tensor(0.5569),0.9783072542517413,tensor(0.6355),0.0003
1,0.9258787296031599,tensor(0.6553),0.8611318246413974,tensor(0.6804),0.0003
2,0.848455384875307,tensor(0.6874),0.7950096712467112,tensor(0.7082),0.0003
3,0.803746302527623,tensor(0.7037),0.7720479587783948,tensor(0.7160),0.0003
4,0.7777966997225187,tensor(0.7149),0.749867201233644,tensor(0.7233),0.0003
5,0.7522058267744737,tensor(0.7238),0.745165451247939,tensor(0.7246),0.00027
6,0.7348003359359211,tensor(0.7296),0.7422172110521782,tensor(0.7278),0.00027
7,0.7233402318930007,tensor(0.7338),0.7149485388639915,tensor(0.7353),0.00027
8,0.7114021797025766,tensor(0.7395),0.7037114148034466,tensor(0.7387),0.00027
9,0.7017092476406324,tensor(0.7417),0.7056038462607361,tensor(0.7392),0.00027
10,0.6846337557679837,tensor(0.7493),0.6721245220319779,tensor(0.7509),0.000243
11,0.6750275437057535,tensor(0.7511),0.6655396470927244,tensor(0.7554),0.000243
12,0.6664910382206297,tensor(0.7545),0.6667435360703953,tensor(0.7514),0.000243
13,0.6594957304941075,tensor(0.7581),0.644675085142508,tensor(0.7637),0.000243
14,0.649349611323015,tensor(0.7616),0.6455881188660334,tensor(0.7626),0.000243
15,0.6376074319009637,tensor(0.7650),0.639757741563937,tensor(0.7643),0.0002187
16,0.6295610766412356,tensor(0.7692),0.6196920764908724,tensor(0.7718),0.0002187
17,0.624987038101436,tensor(0.7704),0.6266200093551872,tensor(0.7696),0.0002187
18,0.618690572036463,tensor(0.7723),0.6230762491206322,tensor(0.7689),0.0002187
19,0.6114003798754485,tensor(0.7739),0.6121136838902874,tensor(0.7742),0.0002187
20,0.6022519206305122,tensor(0.7785),0.6048926247851747,tensor(0.7777),0.00019683
21,0.5972369207369665,tensor(0.7794),0.6137638899063828,tensor(0.7754),0.00019683
22,0.5928933510187154,tensor(0.7801),0.6048380573539636,tensor(0.7771),0.00019683
23,0.5859544842852427,tensor(0.7849),0.592956875485845,tensor(0.7821),0.00019683
24,0.5802789345961727,tensor(0.7862),0.5892856235150994,tensor(0.7849),0.00019683
25,0.5702913481958327,tensor(0.7910),0.588072003061552,tensor(0.7851),0.000177147
26,0.566931959211769,tensor(0.7903),0.5854408915950993,tensor(0.7830),0.000177147
27,0.5603451239409145,tensor(0.7926),0.5814484725322583,tensor(0.7885),0.000177147
28,0.5570812407652894,tensor(0.7942),0.5755069986410958,tensor(0.7884),0.000177147
29,0.5524222114293306,tensor(0.7959),0.5728248641176765,tensor(0.7902),0.000177147
30,0.5437472852788395,tensor(0.7990),0.5777019415004164,tensor(0.7863),0.0001594323
31,0.5417910247668505,tensor(0.7992),0.5729801036983623,tensor(0.7896),0.0001594323
32,0.5357041466920259,tensor(0.8018),0.5684490185511651,tensor(0.7916),0.0001594323
33,0.5317259636988583,tensor(0.8029),0.5557378139699182,tensor(0.7947),0.0001594323
34,0.5272926050392088,tensor(0.8040),0.5641585544788443,tensor(0.7942),0.0001594323
35,0.5234079121893589,tensor(0.8057),0.5627217622436212,tensor(0.7926),0.00014348907
36,0.5187559629449786,tensor(0.8080),0.5584218556986439,tensor(0.7973),0.00014348907
37,0.5145516220806271,tensor(0.8078),0.55423594470894,tensor(0.7959),0.00014348907
38,0.5123968418304184,tensor(0.8091),0.5602225118166516,tensor(0.7956),0.00014348907
39,0.5094559507210998,tensor(0.8110),0.5580989456150004,tensor(0.7945),0.00014348907
40,0.5031274953267635,tensor(0.8130),0.5524004276611363,tensor(0.7994),0.000129140163
41,0.5016014999630896,tensor(0.8132),0.5556500550836048,tensor(0.7989),0.000129140163
42,0.49614712528098504,tensor(0.8156),0.5573182882082389,tensor(0.7970),0.000129140163
43,0.4930122361117428,tensor(0.8175),0.5480824475030022,tensor(0.8010),0.000129140163
44,0.4885284122021086,tensor(0.8172),0.556455397288667,tensor(0.7997),0.000129140163
45,0.4842531553309252,tensor(0.8171),0.5615300575331565,tensor(0.7984),0.0001162261467
46,0.4797540836205808,tensor(0.8207),0.5570820773133256,tensor(0.7993),0.0001162261467
47,0.4762771237198456,tensor(0.8220),0.5542282501487023,tensor(0.8002),0.0001162261467
48,0.472584953538192,tensor(0.8242),0.5503549511786568,tensor(0.8011),0.0001162261467
49,0.4700468446570889,tensor(0.8240),0.5633472584500914,tensor(0.7994),0.0001162261467
50,0.464529757862406,tensor(0.8254),0.5562457965902504,tensor(0.7993),0.00010460353203
51,0.46083847531029415,tensor(0.8268),0.5589461393198091,tensor(0.8009),0.00010460353203
52,0.4574580732906197,tensor(0.8275),0.560985304006746,tensor(0.8006),0.00010460353203
53,0.4547864385486681,tensor(0.8301),0.5650251640765932,tensor(0.7968),0.00010460353203
54,0.45205210370488486,tensor(0.8306),0.5637605485816001,tensor(0.8012),0.00010460353203
55,0.44561750183085597,tensor(0.8318),0.5664230978003524,tensor(0.7973),9.4143178827e-05
56,0.44070173876910074,tensor(0.8340),0.5650248044708212,tensor(0.7989),9.4143178827e-05
57,0.43820251830688994,tensor(0.8347),0.5595205826956555,tensor(0.8013),9.4143178827e-05
58,0.43815853403485255,tensor(0.8352),0.5648895696249862,tensor(0.8009),9.4143178827e-05
59,0.4331482912665493,tensor(0.8372),0.5650951479176138,tensor(0.7987),9.4143178827e-05
60,0.4271843329707412,tensor(0.8393),0.5663365965070691,tensor(0.8000),8.47288609443e-05
61,0.4248755270565653,tensor(0.8400),0.5736450645815833,tensor(0.7980),8.47288609443e-05
